;Event;Group;Group name
318;HURRICANE-GENERATED SWELLS;8;Heavy wind
321;HIGH WIND 63;8;Heavy wind
325;HIGH WINDS/COASTAL FLOOD;8;Heavy wind
330;HIGH WAVES;8;Heavy wind
393;HIGH WIND 70;8;Heavy wind
477;HIGH WATER;8;Heavy wind
511;HIGH WINDS/COLD;8;Heavy wind
525;HIGH WINDS/SNOW;8;Heavy wind
554;HIGH WIND AND SEAS;8;Heavy wind
582;HIGH WIND 48;8;Heavy wind
590;HEAVY SWELLS;8;Heavy wind
607;High Wind;8;Heavy wind
635;High Surf;8;Heavy wind
838;HIGH SWELLS;8;Heavy wind
839;HIGH  SWELLS;8;Heavy wind
853;HIGH WIND (G40);8;Heavy wind
930;HIGH SURF ADVISORY;8;Heavy wind
958;   HIGH SURF ADVISORY;8;Heavy wind
972;HIGH SURF ADVISORIES;8;Heavy wind
978;MARINE HIGH WIND;8;Heavy wind
28;WIND;9;Heavy wind
49;WIND CHILL;9;Heavy wind
66;BLIZZARD/HIGH WIND;9;Heavy wind
67;HIGH WIND/LOW WIND CHILL;9;Heavy wind
70;HIGH WINDS AND WIND CHILL;9;Heavy wind
75;WIND CHILL/HIGH WIND;9;Heavy wind
91;WIND DAMAGE;9;Heavy wind
137;STRONG WIND;9;Heavy wind
138;HIGH WIND DAMAGE;9;Heavy wind
207;TORNADOES, TSTM WIND, HAIL;9;Heavy wind
217;LIGHTNING AND THUNDERSTORM WIN;9;Heavy wind
236;EXTREME WIND CHILLS;9;Heavy wind
252;EXTREME WIND CHILL;9;Heavy wind
265;BLOWING SNOW- EXTREME WIND CHI;9;Heavy wind
272;SNOW- HIGH WIND- WIND CHILL;9;Heavy wind
287;THUNDERSTORM DAMAGE;9;Heavy wind
292;WIND STORM;9;Heavy wind
308;TUNDERSTORM WIND;9;Heavy wind
310;THUNDERTSORM WIND;9;Heavy wind
350;BLIZZARD AND EXTREME WIND CHIL;9;Heavy wind
351;LOW WIND CHILL;9;Heavy wind
352;BLOWING SNOW & EXTREME WIND CH;9;Heavy wind
437;THUNDERSTORM WIND/ TREES;9;Heavy wind
440;THUNDERSTORM WIND TREES;9;Heavy wind
449;THUNDERSTORM WIND/ TREE;9;Heavy wind
450;THUNDERSTORM DAMAGE TO;9;Heavy wind
476;TSTM WIND DAMAGE;9;Heavy wind
523;EXTREME WIND CHILL/BLOWING SNO;9;Heavy wind
530;BLOWING SNOW/EXTREME WIND CHIL;9;Heavy wind
565;THUNDERSTROM WIND;9;Heavy wind
608;Tstm Wind;9;Heavy wind
610;Wind;9;Heavy wind
613;Wind Damage;9;Heavy wind
620;Strong Wind;9;Heavy wind
686;Gradient wind;9;Heavy wind
810;STRONG WIND GUST;9;Heavy wind
826;GRADIENT WIND;9;Heavy wind
828;Flood/Strong Wind;9;Heavy wind
829;TSTM WIND AND LIGHTNING;9;Heavy wind
830;gradient wind;9;Heavy wind
858;WAKE LOW WIND;9;Heavy wind
867;BITTER WIND CHILL;9;Heavy wind
868;BITTER WIND CHILL TEMPERATURES;9;Heavy wind
884;WIND ADVISORY;9;Heavy wind
908;WIND AND WAVE;9;Heavy wind
910; WIND;9;Heavy wind
920;NON-SEVERE WIND DAMAGE;9;Heavy wind
928;WIND GUSTS;9;Heavy wind
936;WND;9;Heavy wind
950;NON-TSTM WIND;9;Heavy wind
951;NON TSTM WIND;9;Heavy wind
957;MARINE TSTM WIND;9;Heavy wind
982;MARINE THUNDERSTORM WIND;9;Heavy wind
983;MARINE STRONG WIND;9;Heavy wind
418;OTHER;10;Other
564;?;10;Other
602;Other;10;Other
689;Summary Jan 17;10;Other
690;Summary of March 14;10;Other
691;Summary of March 23;10;Other
692;Summary of March 24;10;Other
693;Summary of April 3rd;10;Other
694;Summary of April 12;10;Other
695;Summary of April 13;10;Other
696;Summary of April 21;10;Other
697;Summary August 11;10;Other
698;Summary of April 27;10;Other
699;Summary of May 9-10;10;Other
700;Summary of May 10;10;Other
701;Summary of May 13;10;Other
702;Summary of May 14;10;Other
703;Summary of May 22 am;10;Other
704;Summary of May 22 pm;10;Other
706;Summary of May 26 am;10;Other
707;Summary of May 26 pm;10;Other
709;Summary of May 31 am;10;Other
710;Summary of May 31 pm;10;Other
711;Summary of June 3;10;Other
712;Summary of June 4;10;Other
713;Summary June 5-6;10;Other
714;Summary June 6;10;Other
715;Summary of June 11;10;Other
716;Summary of June 12;10;Other
717;Summary of June 13;10;Other
718;Summary of June 15;10;Other
719;Summary of June 16;10;Other
720;Summary June 18-19;10;Other
721;Summary of June 23;10;Other
722;Summary of June 24;10;Other
723;Summary of June 30;10;Other
724;Summary of July 2;10;Other
725;Summary of July 3;10;Other
726;Summary of July 11;10;Other
727;Summary of July 22;10;Other
728;Summary July 23-24;10;Other
729;Summary of July 26;10;Other
730;Summary of July 29;10;Other
731;Summary of August 1;10;Other
732;Summary August 2-3;10;Other
733;Summary August 7;10;Other
734;Summary August 9;10;Other
735;Summary August 10;10;Other
736;Summary August 17;10;Other
737;Summary August 21;10;Other
738;Summary August 28;10;Other
743;Summary: Oct. 20-21;10;Other
744;Summary: October 31;10;Other
745;Summary: Nov. 6-7;10;Other
746;Summary: Nov. 16;10;Other
756;Summary of May 22;10;Other
757;Summary of June 6;10;Other
758;Summary August 4;10;Other
759;Summary of June 10;10;Other
760;Summary of June 18;10;Other
823;SUMMARY OF MARCH 24-25;10;Other
824;SUMMARY OF MARCH 27;10;Other
825;SUMMARY OF MARCH 29;10;Other
474;HEAVY RAIN;4;Heavy rain / heavy snow
